Date;Healthcare Global ETF(IXJ);MSCI World ETF (URTH);Tbill 1y (IB01.SW);Tbill 7-10y (IGTM.L);Gold ETF (SGOL);Real Estate ETF (VNQ);BTC-USD;Energy ETF (VDE);Oil ETF (HUC.TO);NYSE Composite (^NYA)
01/01/2020;;;;;;;7200.17431640625;;;
02/01/2020;67.20973205566406;96.30870056152344;;5.249000072479248;14.710000038146973;85.05542755126953;6985.47021484375;74.20335388183594;13.239999771118164;14002.490234375
03/01/2020;66.7127456665039;95.49588775634766;5.1020002365112305;5.276000022888184;14.920000076293945;85.58412170410156;7344.88427734375;74.04085540771484;13.510000228881836;13917.0498046875
04/01/2020;;;;;;;7410.65673828125;;;
05/01/2020;;;;;;;7411.3173828125;;;
06/01/2020;67.02457427978516;96.03777313232422;5.1020002365112305;5.274499893188477;15.079999923706055;85.68614196777344;7769.21923828125;74.73603057861328;13.520000457763672;13941.7998046875
07/01/2020;66.86865997314453;95.78617858886719;5.105999946594238;5.2729997634887695;15.140000343322754;84.73078918457031;8163.6923828125;74.47420501708984;13.5;13898.4501953125
08/01/2020;67.26819610595703;96.05711364746094;5.105000019073486;5.269000053405762;15.020000457763672;84.990478515625;8079.86279296875;73.08385467529297;13.0600004196167;13934.4404296875
09/01/2020;67.54104614257812;96.6086654663086;5.105000019073486;5.244500160217285;14.930000305175781;84.94412231445312;7879.0712890625;73.53527069091797;13.050000190734863;13997.650390625
10/01/2020;67.6774673461914;96.22162628173828;5.105000019073486;5.271500110626221;15.020000457763672;85.59339904785156;8166.55419921875;72.98453521728516;12.970000267028809;13957.9697265625
11/01/2020;;;;;;;8037.53759765625;;;
12/01/2020;;;;;;;8192.494140625;;;
13/01/2020;67.48258209228516;96.84091186523438;5.105000019073486;5.261499881744385;14.90999984741211;86.62296295166016;8144.1943359375;73.02066040039062;12.899999618530273;14042.650390625
14/01/2020;67.94058990478516;96.64737701416016;5.105000019073486;5.275000095367432;14.890000343322754;86.29832458496094;8827.7646484375;73.0657958984375;12.979999542236328;14037.1298828125
15/01/2020;68.5155258178711;96.78285217285156;5.105000019073486;5.288000106811523;14.979999542236328;87.07744598388672;8807.0107421875;72.58731079101562;12.850000381469727;14053.23046875
16/01/2020;68.78837585449219;97.55695343017578;5.105000019073486;5.276000022888184;14.960000038146973;87.77311706542969;8723.7861328125;72.6234130859375;12.90999984741211;14141.7802734375
17/01/2020;68.92481231689453;97.88594818115234;5.105000019073486;5.269999980926514;14.989999771118164;87.85659790039062;8929.0380859375;72.1539306640625;12.90999984741211;14183.2001953125
18/01/2020;;;;;;;8942.80859375;;;
19/01/2020;;;;;;;8706.2451171875;;;
20/01/2020;;;5.107999801635742;5.273499965667725;;;8657.642578125;;12.979999542236328;
21/01/2020;68.89556884765625;97.37309265136719;5.107999801635742;5.293000221252441;15.0;88.69137573242188;8745.89453125;70.59205627441406;12.920000076293945;14109.98046875
22/01/2020;69.01251220703125;97.54727172851562;5.105999946594238;5.291999816894531;15.010000228881836;88.09776306152344;8680.8759765625;69.93299865722656;12.680000305175781;14110.240234375
23/01/2020;68.68119049072266;97.46986389160156;5.10699987411499;5.316500186920166;15.050000190734863;88.83979797363281;8406.515625;69.57186889648438;12.399999618530273;14102.0400390625
24/01/2020;67.68722534179688;96.8215560913086;5.10699987411499;5.32450008392334;15.130000114440918;88.53369140625;8445.4345703125;68.72320556640625;12.140000343322754;13978.4697265625
25/01/2020;;;;;;;8367.84765625;;;
26/01/2020;;;;;;;8596.830078125;;;
27/01/2020;67.02457427978516;95.16690063476562;5.10699987411499;5.358500003814697;15.239999771118164;88.10702514648438;8909.8193359375;66.72795104980469;11.949999809265137;13769.599609375
28/01/2020;67.58975982666016;96.04744720458984;5.10699987411499;5.3470001220703125;15.109999656677246;88.45950317382812;9358.58984375;67.15227508544922;12.050000190734863;13877.6103515625
29/01/2020;67.54104614257812;96.07647705078125;5.10699987411499;5.355999946594238;15.1899995803833;88.13484954833984;9316.6298828125;66.43002319335938;12.079999923706055;13843.8095703125
30/01/2020;67.19023132324219;96.22162628173828;5.107999801635742;5.383999824523926;15.1899995803833;88.19977569580078;9508.9931640625;66.85435485839844;12.0;13861.919921875
31/01/2020;65.99163055419922;94.56696319580078;5.107999801635742;5.395999908447266;15.270000457763672;87.12383270263672;9350.529296875;64.88618469238281;11.770000457763672;13614.099609375
01/02/2020;;;;;;;9392.875;;;
02/02/2020;;;;;;;9344.365234375;;;
03/02/2020;66.47886657714844;95.0798110961914;5.109000205993652;5.388000011444092;15.180000305175781;87.41136932373047;9293.521484375;64.09169006347656;11.699999809265137;13677.919921875
04/02/2020;67.57028198242188;96.7731704711914;5.109000205993652;5.364999771118164;14.970000267028809;88.31108856201172;9180.962890625;64.23615264892578;11.65999984741211;13862.83984375
05/02/2020;68.7104263305664;97.67306518554688;5.111000061035156;5.351500034332275;15.0;88.36673736572266;9613.423828125;66.70989990234375;11.899999618530273;14024.8603515625
06/02/2020;68.83709716796875;98.02143096923828;5.111000061035156;5.3445000648498535;15.079999923706055;88.6635513305664;9729.8017578125;65.96054077148438;12.050000190734863;14034.9501953125
07/02/2020;68.3108901977539;97.37309265136719;5.111000061035156;5.367000102996826;15.109999656677246;88.64500427246094;9795.943359375;65.38272857666016;11.970000267028809;13931.9296875
08/02/2020;;;;;;;9865.119140625;;;
09/02/2020;;;;;;;10116.673828125;;;
10/02/2020;68.62271881103516;97.8666000366211;5.111000061035156;5.381499767303467;15.149999618530273;89.63746643066406;9856.611328125;64.86812591552734;11.850000381469727;13984.48046875
11/02/2020;69.06123352050781;98.3213882446289;5.111000061035156;5.371500015258789;15.09000015258789;90.3145751953125;10208.236328125;65.54525756835938;11.90999984741211;14054.080078125
12/02/2020;69.08071899414062;98.81488800048828;5.111999988555908;5.352499961853027;15.09000015258789;90.85255432128906;10326.0546875;66.49320983886719;12.180000305175781;14136.98046875
13/02/2020;68.73965454101562;98.49555969238281;5.111999988555908;5.357500076293945;15.170000076293945;91.39981079101562;10214.3798828125;66.21333312988281;12.170000076293945;14099.0400390625
14/02/2020;68.66169738769531;98.6213607788086;5.11299991607666;5.369500160217285;15.239999771118164;92.34588623046875;10312.1162109375;65.89735412597656;12.199999809265137;14097.33984375
15/02/2020;;;;;;;9889.4248046875;;;
16/02/2020;;;;;;;9934.43359375;;;
17/02/2020;;;5.11299991607666;5.368500232696533;;;9690.142578125;;;
18/02/2020;68.47655487060547;98.34073638916016;5.113999843597412;5.388500213623047;15.4399995803833;92.24386596679688;10141.99609375;65.34661865234375;12.279999732971191;14039.009765625
19/02/2020;68.91506958007812;98.72779083251953;5.113999843597412;5.377500057220459;15.529999732971191;91.00096130371094;9633.38671875;66.22236633300781;12.449999809265137;14087.1298828125
20/02/2020;68.45706176757812;98.31169891357422;5.114999771118164;5.39900016784668;15.59000015258789;92.08617401123047;9608.4755859375;66.24041748046875;12.4399995803833;14061.48046875
21/02/2020;68.45706176757812;97.62468719482422;5.114999771118164;5.416500091552734;15.829999923706055;92.35517120361328;9686.44140625;65.32857513427734;12.300000190734863;13975.7802734375
22/02/2020;;;;;;;9663.181640625;;;
23/02/2020;;;;;;;9924.515625;;;
24/02/2020;66.09882354736328;94.23796844482422;5.114999771118164;5.461999893188477;15.979999542236328;91.09371948242188;9650.1748046875;62.19575881958008;11.880000114440918;13534.1201171875
25/02/2020;64.28629302978516;91.71244049072266;5.114999771118164;5.475500106811523;15.6899995803833;88.62645721435547;9341.705078125;59.46018981933594;11.640000343322754;13143.73046875
26/02/2020;64.30577850341797;91.4415054321289;5.114999771118164;5.468999862670898;15.760000228881836;87.67108917236328;8820.5224609375;57.62745666503906;11.470000267028809;13046.6201171875
27/02/2020;62.39580535888672;88.02574920654297;5.114999771118164;5.502500057220459;15.760000228881836;83.00556182861328;8784.494140625;54.41339111328125;11.15999984741211;12547.25
28/02/2020;61.43107223510742;86.76782989501953;5.11899995803833;5.557000160217285;15.180000305175781;81.00208282470703;8672.455078125;55.189823150634766;10.779999732971191;12380.9697265625
29/02/2020;;;;;;;8599.5087890625;;;
01/03/2020;;;;;;;8562.4541015625;;;
02/03/2020;64.07190704345703;90.21260833740234;5.122000217437744;5.587500095367432;15.270000457763672;84.46180725097656;8869.669921875;56.688514709472656;11.170000076293945;12827.990234375
03/03/2020;62.78559875488281;88.18057250976562;5.122000217437744;5.611999988555908;15.75;84.26702117919922;8787.7861328125;54.90091323852539;11.15999984741211;12542.740234375
04/03/2020;66.16703796386719;91.53826141357422;5.126999855041504;5.634500026702881;15.779999732971191;87.448486328125;8755.24609375;56.01139450073242;11.1899995803833;13009.9599609375
05/03/2020;64.68582153320312;88.76115417480469;5.132999897003174;5.647500038146973;16.1200008392334;85.57483673095703;9078.7626953125;53.8716926574707;11.069999694824219;12593.0302734375
06/03/2020;64.24730682373047;87.37744903564453;5.135000228881836;5.736999988555908;16.110000610351562;84.10005950927734;9122.5458984375;50.684715270996094;10.229999542236328;12352.0302734375
07/03/2020;;;;;;;8909.9541015625;;;
08/03/2020;;;;;;;8108.1162109375;;;
09/03/2020;60.83664321899414;80.13951873779297;5.129000186920166;5.784999847412109;16.15999984741211;77.6165542602539;7923.64453125;40.63624954223633;8.300000190734863;11298.4296875
10/03/2020;62.95125198364258;83.74880981445312;5.129000186920166;5.751500129699707;15.829999923706055;80.89576721191406;7909.7294921875;42.14115524291992;8.930000305175781;11793.26953125
11/03/2020;60.407875061035156;79.57829284667969;5.138999938964844;5.673999786376953;15.760000228881836;76.034912109375;7911.43017578125;39.63908386230469;8.65999984741211;11177.2900390625
12/03/2020;55.515995025634766;71.27599334716797;5.140999794006348;5.7870001792907715;15.140000343322754;68.33233642578125;4970.7880859375;34.90988540649414;8.380000114440918;10060.759765625
13/03/2020;59.209259033203125;77.05276489257812;5.099999904632568;5.627999782562256;14.670000076293945;74.29620361328125;5563.70703125;38.099342346191406;8.880000114440918;10851.740234375
14/03/2020;;;;;;;5200.3662109375;;;
15/03/2020;;;;;;;5392.31494140625;;;
16/03/2020;53.6839714050293;68.28599548339844;5.109000205993652;5.658999919891357;14.529999732971191;61.12518310546875;5014.47998046875;33.13186264038086;7.840000152587891;9567.5302734375
17/03/2020;56.714595794677734;72.15653991699219;5.110000133514404;5.644499778747559;14.720000267028809;64.65864562988281;5225.62939453125;33.159358978271484;7.75;10063.3603515625
18/03/2020;54.590240478515625;68.14085388183594;5.110000133514404;5.517499923706055;14.380000114440918;58.50780487060547;5238.4384765625;28.67761993408203;6.900000095367432;9384.599609375
19/03/2020;54.453819274902344;68.65369415283203;5.11899995803833;5.5289998054504395;14.119999885559082;58.71345520019531;6191.19287109375;30.538131713867188;7.449999809265137;9461.3095703125
20/03/2020;52.18328094482422;66.40878295898438;5.126999855041504;5.601500034332275;14.34000015258789;55.78760528564453;6198.7783203125;30.877241134643555;7.25;9133.16015625
21/03/2020;;;;;;;6185.06640625;;;
22/03/2020;;;;;;;5830.2548828125;;;
23/03/2020;50.18560028076172;65.20891571044922;5.126999855041504;5.71750020980835;14.960000038146973;53.19826126098633;6416.31494140625;28.77843475341797;7.349999904632568;8777.3798828125
24/03/2020;53.65474319458008;71.14051818847656;5.129000186920166;5.6585001945495605;15.760000228881836;57.98433303833008;6734.8037109375;33.30599594116211;7.429999828338623;9658.3203125
25/03/2020;54.70717239379883;72.41780090332031;5.129000186920166;5.690000057220459;15.479999542236328;61.10649490356445;6681.06298828125;34.644100189208984;7.800000190734863;9961.3798828125
26/03/2020;57.99116516113281;76.4625015258789;5.135000228881836;5.703499794006348;15.720000267028809;65.41583251953125;6716.4404296875;36.61459732055664;7.679999828338623;10536.2802734375
27/03/2020;57.03617858886719;74.14019775390625;5.135000228881836;5.736000061035156;15.609999656677246;65.48125457763672;6469.79833984375;34.15835189819336;7.769999980926514;10187.2099609375
28/03/2020;;;;;;;6242.19384765625;;;
29/03/2020;;;;;;;5922.04296875;;;
30/03/2020;59.6770133972168;76.08513641357422;5.138999938964844;5.78000020980835;15.619999885559082;66.91146850585938;6429.841796875;34.46080017089844;7.800000190734863;10434.740234375
31/03/2020;59.38467025756836;75.40778350830078;5.138000011444092;5.759500026702881;15.149999618530273;65.29429626464844;6438.64453125;35.02903747558594;7.739999771118164;10301.8701171875
01/04/2020;57.21158218383789;71.9920425415039;5.144999980926514;5.793000221252441;15.3100004196167;61.003665924072266;6606.7763671875;33.397647857666016;7.400000095367432;9844.849609375
02/04/2020;58.79024124145508;73.47252655029297;5.144999980926514;5.789000034332275;15.550000190734863;61.209312438964844;6793.62451171875;36.330482482910156;7.539999961853027;10062.3701171875
03/04/2020;58.20555114746094;72.35005950927734;5.144999980926514;5.799499988555908;15.630000114440918;60.3212776184082;6733.38720703125;35.90888595581055;7.940000057220459;9880.6298828125
04/04/2020;;;;;;;6867.52734375;;;
05/04/2020;;;;;;;6791.12939453125;;;
06/04/2020;61.03153991699219;76.91729736328125;5.144999980926514;5.765999794006348;16.059999465942383;64.78951263427734;7271.78125;37.778568267822266;8.029999732971191;10515.240234375
07/04/2020;60.27143859863281;77.05276489257812;5.144999980926514;5.7210001945495605;15.960000038146973;65.38777160644531;7176.41455078125;38.50260925292969;8.109999656677246;10537.0400390625
08/04/2020;62.347084045410156;78.89128112792969;5.144999980926514;5.725500106811523;15.829999923706055;69.84667205810547;7334.0986328125;41.114662170410156;8.149999618530273;10902.58984375
09/04/2020;62.805084228515625;80.33303833007812;5.144000053405762;5.728000164031982;16.200000762939453;73.76339721679688;7302.08935546875;40.931358337402344;8.0600004196167;11136.6103515625
10/04/2020;;;;;;;6865.4931640625;;;
11/04/2020;;;;;;;6859.0830078125;;;
12/04/2020;;;;;;;6971.091796875;;;
