date;Johnson and johnson;AstraZeneca;Pfizer;Healthcare Global;MSCI World;Tbill 1y;Tbill 7-10y;Gold ETF;Real Estate ETF;BTC-USD;Energy Sector;Oil Sector;NYSE
01/01/2020;;;;;;;;;;7200.17431640625;;;
02/01/2020;137.72927856445312;46.90519332885742;34.00086212158203;67.20972442626953;96.30870819091797;;5.249000072479248;14.710000038146973;85.055419921875;6985.47021484375;74.203369140625;13.239999771118164;14002.490234375
03/01/2020;136.13470458984375;46.625938415527344;33.81843566894531;66.71273803710938;95.49588775634766;5.1020002365112305;5.276000022888184;14.920000076293945;85.58412170410156;7344.88427734375;74.04084014892578;13.510000228881836;13917.0498046875
04/01/2020;;;;;;;;;;7410.65673828125;;;
05/01/2020;;;;;;;;;;7411.3173828125;;;
06/01/2020;135.96487426757812;46.43046188354492;33.77499771118164;67.02456665039062;96.03776550292969;5.1020002365112305;5.274499893188477;15.079999923706055;85.68614196777344;7769.21923828125;74.73602294921875;13.520000457763672;13941.7998046875
07/01/2020;136.795166015625;46.607322692871094;33.66206359863281;66.86866760253906;95.78617858886719;5.105999946594238;5.2729997634887695;15.140000343322754;84.73078918457031;8163.6923828125;74.47419738769531;13.5;13898.4501953125
08/01/2020;136.7763214111328;46.49562072753906;33.931365966796875;67.26819610595703;96.05712127685547;5.105000019073486;5.269000053405762;15.020000457763672;84.99048614501953;8079.86279296875;73.08384704589844;13.0600004196167;13934.4404296875
09/01/2020;137.1820526123047;46.616634368896484;33.7836799621582;67.54104614257812;96.6086654663086;5.105000019073486;5.244500160217285;14.930000305175781;84.94410705566406;7879.0712890625;73.5352554321289;13.050000190734863;13997.650390625
10/01/2020;136.87066650390625;46.40253829956055;34.30490493774414;67.6774673461914;96.22162628173828;5.105000019073486;5.271500110626221;15.020000457763672;85.59339904785156;8166.55419921875;72.98453521728516;12.970000267028809;13957.9697265625
11/01/2020;;;;;;;;;;8037.53759765625;;;
12/01/2020;;;;;;;;;;8192.494140625;;;
13/01/2020;137.47454833984375;46.2349853515625;34.23540496826172;67.48257446289062;96.84091186523438;5.105000019073486;5.261499881744385;14.90999984741211;86.62295532226562;8144.1943359375;73.0206527709961;12.899999618530273;14042.650390625
14/01/2020;138.24826049804688;46.709716796875;34.808746337890625;67.94058990478516;96.64736938476562;5.105000019073486;5.275000095367432;14.890000343322754;86.29833221435547;8827.7646484375;73.0657958984375;12.979999542236328;14037.1298828125
15/01/2020;138.71058654785156;47.28683853149414;35.3299674987793;68.5155258178711;96.7828369140625;5.105000019073486;5.288000106811523;14.979999542236328;87.07746124267578;8807.0107421875;72.58729553222656;12.850000381469727;14053.23046875
16/01/2020;139.83338928222656;47.01689147949219;35.2778434753418;68.78837585449219;97.55695343017578;5.105000019073486;5.276000022888184;14.960000038146973;87.77310180664062;8723.7861328125;72.6234130859375;12.90999984741211;14141.7802734375
17/01/2020;140.74864196777344;47.780181884765625;35.190982818603516;68.9248046875;97.88594818115234;5.105000019073486;5.269999980926514;14.989999771118164;87.85660552978516;8929.0380859375;72.1539306640625;12.90999984741211;14183.2001953125
18/01/2020;;;;;;;;;;8942.80859375;;;
19/01/2020;;;;;;;;;;8706.2451171875;;;
20/01/2020;;;;;;5.107999801635742;5.273499965667725;;;8657.642578125;;12.979999542236328;
21/01/2020;140.84298706054688;47.28683853149414;35.04330062866211;68.89556884765625;97.37310791015625;5.107999801635742;5.293000221252441;15.0;88.69137573242188;8745.89453125;70.59204864501953;12.920000076293945;14109.98046875
22/01/2020;139.8805694580078;46.96104431152344;34.913002014160156;69.01250457763672;97.54727935791016;5.105999946594238;5.291999816894531;15.010000228881836;88.09776306152344;8680.8759765625;69.9329833984375;12.680000305175781;14110.240234375
23/01/2020;140.14474487304688;46.72833251953125;35.36471176147461;68.68119049072266;97.46986389160156;5.10699987411499;5.316500186920166;15.050000190734863;88.83978271484375;8406.515625;69.57186126708984;12.399999618530273;14102.0400390625
24/01/2020;139.94664001464844;45.8719596862793;34.59157180786133;67.68721771240234;96.82154846191406;5.10699987411499;5.32450008392334;15.130000114440918;88.53369140625;8445.4345703125;68.72320556640625;12.140000343322754;13978.4697265625
25/01/2020;;;;;;;;;;8367.84765625;;;
26/01/2020;;;;;;;;;;8596.830078125;;;
27/01/2020;140.3523712158203;45.51823806762695;34.88693618774414;67.02456665039062;95.1668930053711;5.10699987411499;5.358500003814697;15.239999771118164;88.1070327758789;8909.8193359375;66.72796630859375;11.949999809265137;13769.599609375
28/01/2020;141.05999755859375;46.169830322265625;33.13216018676758;67.58976745605469;96.04743957519531;5.10699987411499;5.3470001220703125;15.109999656677246;88.45951843261719;9358.58984375;67.15228271484375;12.050000190734863;13877.6103515625
29/01/2020;142.04129028320312;46.225677490234375;32.645694732666016;67.54104614257812;96.07646942138672;5.10699987411499;5.355999946594238;15.1899995803833;88.13485717773438;9316.6298828125;66.43002319335938;12.079999923706055;13843.8095703125
30/01/2020;141.87142944335938;45.695098876953125;32.549564361572266;67.19023132324219;96.22162628173828;5.107999801635742;5.383999824523926;15.1899995803833;88.19979095458984;9508.9931640625;66.8543472290039;12.0;13861.919921875
31/01/2020;140.46556091308594;45.332069396972656;32.698829650878906;65.99162292480469;94.56696319580078;5.107999801635742;5.395999908447266;15.270000457763672;87.12384796142578;9350.529296875;64.88619995117188;11.770000457763672;13614.099609375
01/02/2020;;;;;;;;;;9392.875;;;
02/02/2020;;;;;;;;;;9344.365234375;;;
